"(Parent)","(Aile)"
"Below Content","Aşağıdaki İçerik"
"Custom","Özel"
"Product Page","Ürün Sayfası"
"Category Page","Kategori Sayfası"
"Shopping Cart Page","Alışveri sepeti sayfası"
"Category","Kategori"
"PREVIEW PRODUCTS","ÜRÜNLERİ ÖNİZLEME"
"Statistic","İstatistik"
"Total","Toplam"
"Child","Ürün"
"Add to Cart","Sepete ekle"
"In stock","Stokta var"
"Out of stock","Stokta yok"
"HIDE PRODUCTS","ÜRÜNLERİ GİZLE"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Otomatik İlişkili Ürünler"
"General Configuration","Genel Yapılandırma"
"Enable Automatic Related Products","Otomatik İlişkili Ürünleri etkinleştir"
"Select Yes to enable this module.","Bu modülü etkinleştirmek için Eveti seçin."
"Start","Başlat"
"End","Bitir"
