"(Parent)","(Szülő)"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Adjon meg egy számot a szabály elsőbbségének megadásához. Az alacsonyabb szám magasabb prioritást jelent."
"ID","ID"
"Name","Név"
"Name in %1","Név %1-ben"
"Type","típus"
"Attribute Set","Attribútum készlet"
"SKU","SKU"
"Price","Ár"
"Quantity","Mennyiség"
"Visibility","Láthatóság"
"Variant","Változat"
"Impression","Benyomás"
"Click","Kattints"
"CTR","CTR"
"Enabled","Bekapcsolt"
"Disabled","Tiltva"
"There are no items.","Nincsenek elemek."
"A/B Testing","A / B tesztelés"
"Related Block Rule","Kapcsolódó blokkszabály"
"Promotions","akciók"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Nem találtunk frissített szabályokat. Kérjük, kattintson a ""Szabályok alkalmazása"" gombra a katalógus frissítéséhez."
"An error occurred","Hiba lépett fel"
"AutoRelated","AutoRelated"
"Manage Rules","Szabályok kezelése"
"You deleted the rule.","Törölte a szabályt."
"We can't delete this rule right now. Please review the log and try again.","Jelen szabályt jelenleg nem törölhetjük. Kérjük, ellenőrizze a naplót, és próbálja újra."
"We can't find a rule to delete.","Nem találunk szabályt a törléshez."
"Something went wrong.","Valami elromlott."
"This rule no longer exists.","Ez a szabály már nem létezik."
"Can not Add A/B Testing.","A / B tesztelés hozzáadása nem lehetséges."
"Edit Rule","Szabály szerkesztése"
"New Related Block Rule","Új kapcsolódó blokk szabály"
"Related Block Rules","Kapcsolódó blokkszabályok"
"The wrong rule is specified.","A rossz szabály meg van adva."
"You saved the rule.","Megmentette a szabályt."
"Something went wrong while saving the rule data. Please review the error log.","Valami nem sikerült a szabályadatok mentése közben. Kérjük, tekintse át a hibajelentést."
"Add to cart button","Kosárba gomb"
"Add to Wishlist","Hozzáadni a Kívánságlistához"
"Add to Compare","Összehasonlítás"
"Review information","Felülvizsgálati információk"
"Bestsellers","Legtöbbet eladott"
"Lowest Price","Legalacsonyabb ár"
"Highest Price","Legmagasabb ár"
"Newest","Legújabb"
"Random","Véletlen"
"Subtotal","Részösszeg"
"Total Items Quantity","Tételek összesen mennyisége"
"Total Weight","Teljes súly"
"Quantity in cart","Kosárban lévő mennyiség"
"Price in cart","Ár a kosárban"
"Row total in cart","Összesen kosárba helyezett sor"
"Conditions Combination","Feltételek kombinációja"
"Cart Item Attribute","Kosár tétel jellemző"
"Product Attribute","A termék tulajdonsága"
"FOUND","TALÁL"
"NOT FOUND","NEM TALÁLHATÓ"
"If an item is %1 in the cart with %2 of these conditions true:","Ha egy tétel %1 a kosárban %2 e feltételek mellett igaz:"
"total quantity","teljes mennyiség"
"total amount","teljes összeg"
"is","jelentése"
"is not","nem"
"equals or greater than","egyenlő vagy nagyobb mint"
"equals or less than","egyenlő vagy kevesebb mint"
"greater than","nagyobb, mint"
"less than","kevesebb, mint"
"is one of","egyike a"
"is not one of","nem egyike"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Ha %1 %2 %3 a %4 -es kosárban lévő tárgyak alátámasztására az alábbi feltételeknek felel meg:"
"Product attribute combination","Termék-attribútum kombináció"
"Products subselection","Termékek kiválasztása"
"Conditions combination","Feltételek kombinációja"
"Cart Attribute","Kosár jellemző"
"Replace native related product block","Cseréld ki a natív rokon termékblokkot"
"Before native related products","Mielőtt hozzákapcsolná a natív termékeket"
"After native related products","Bennszülött termékek után"
"Replace upsell product block","Cserélje ki a termékcsaládot"
"Before upsell products","Mielőtt upsell termékeket"
"After upsell products","Miután felbukkantak a termékek"
"Above Content","A tartalom felett"
"Below Content","A tartalom alatt"
"Custom","Szokás"
"Product Page","Termékoldal"
"Category Page","Kategória oldal"
"Shopping Cart Page","Bevásárlókosár oldal"
"Category","Kategória"
"PREVIEW PRODUCTS","ELŐZETES TERMÉKEK"
"Statistic","Statisztikai"
"Total","Teljes"
"Child","Gyermek"
"Add to Cart","Kosárba"
"In stock","Raktáron"
"Out of stock","Nincs raktáron"
"HIDE PRODUCTS","A TERMÉK TERMÉKEI"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Automatikus Kapcsolódó termékek"
"General Configuration","Általános konfiguráció"
"Enable Automatic Related Products","Automatikusan kapcsolódó termékek engedélyezése"
"Select Yes to enable this module.","A modul engedélyezéséhez válassza az Igen lehetőséget."
"Start","Rajt"
"End","vég"
