"(Parent)","(Cha mẹ)"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Nhập một số để đặt ưu tiên cho quy tắc. Số thấp cho thấy mức độ ưu tiên cao hơn."
"ID","ID"
"Name","Tên"
"Name in %1","Tên trong %1"
"Type","Kiểu"
"Attribute Set","Bộ thuộc tính"
"SKU","SKU"
"Price","Giá bán"
"Quantity","Số lượng"
"Visibility","Khả năng hiển thị"
"Variant","Biến thể"
"Impression","Ấn tượng"
"Click","Nhấp chuột"
"CTR","CTR"
"Enabled","Đã bật"
"Disabled","Tàn tật"
"There are no items.","Không có mặt hàng nào."
"A/B Testing","Thử nghiệm A / B"
"Related Block Rule","Quy tắc chặn liên quan"
"Promotions","Khuyến mãi"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Chúng tôi tìm thấy quy tắc cập nhật không được áp dụng. Vui lòng nhấp vào ""Áp dụng Quy tắc"" để cập nhật danh mục của bạn."
"An error occurred","Đã xảy ra lỗi"
"AutoRelated","Tự động liên kết"
"Manage Rules","Quản lý các quy tắc"
"You deleted the rule.","Bạn đã xóa quy tắc."
"We can't delete this rule right now. Please review the log and try again.","Chúng tôi không thể xoá quy tắc này ngay bây giờ. Vui lòng xem lại nhật ký và thử lại."
"We can't find a rule to delete.","Chúng tôi không thể tìm thấy một quy tắc để xóa."
"Something went wrong.","Đã xảy ra sự cố"
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"Can not Add A/B Testing.","Không thể Thêm Thử nghiệm A / B."
"Edit Rule","Chỉnh sửa Quy tắc"
"New Related Block Rule","Quy tắc chặn mới liên quan"
"Related Block Rules","Quy tắc chặn liên quan"
"The wrong rule is specified.","Quy tắc sai được chỉ định."
"You saved the rule.","Bạn đã lưu quy tắc."
"Something went wrong while saving the rule data. Please review the error log.","Đã xảy ra lỗi khi lưu dữ liệu quy tắc. Vui lòng xem lại nhật ký lỗi."
"Add to cart button","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào yêu thích"
"Add to Compare","thêm vào để so sánh"
"Review information","Xem lại thông tin"
"Bestsellers","Bán chạy nhất"
"Lowest Price","Giá thấp nhất"
"Highest Price","Giá cao nhất"
"Newest","Mới nhất"
"Random","Ngẫu nhiên"
"Subtotal","Tổng cộng"
"Total Items Quantity","Tổng số lượng mục"
"Total Weight","Tổng khối lượng"
"Quantity in cart","Số lượng trong giỏ hàng"
"Price in cart","Giá trong giỏ hàng"
"Row total in cart","Tổng số hàng trong giỏ hàng"
"Conditions Combination","Điều kiện kết hợp"
"Cart Item Attribute","Giỏ hàng Thuộc tính"
"Product Attribute","Thuộc tính sản phẩm"
"FOUND","TÌM"
"NOT FOUND","KHÔNG TÌM THẤY"
"If an item is %1 in the cart with %2 of these conditions true:","Nếu một mặt hàng là %1 trong giỏ hàng với %2 của các điều kiện này đúng:"
"total quantity","tổng số"
"total amount","tổng cộng"
"is","Là"
"is not","không phải là"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"greater than","lớn hơn"
"less than","ít hơn"
"is one of","là một trong những"
"is not one of","không phải là một trong"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Nếu %1 %2 %3 cho một mục phụ của các mục trong giỏ hàng phù hợp với %4 trong các điều kiện sau:"
"Product attribute combination","Kết hợp thuộc tính sản phẩm"
"Products subselection","Sản phẩm subselection"
"Conditions combination","Điều kiện kết hợp"
"Cart Attribute","Thuộc tính của giỏ hàng"
"Replace native related product block","Thay thế khối sản phẩm liên quan đến bản địa"
"Before native related products","Trước khi sản phẩm có liên quan đến bản địa"
"After native related products","Sau khi sản phẩm có liên quan đến bản địa"
"Replace upsell product block","Thay thế khối sản phẩm upsell"
"Before upsell products","Trước khi nâng cấp sản phẩm"
"After upsell products","Sau khi nâng cấp sản phẩm"
"Above Content","Trên Nội dung"
"Below Content","Bên dưới Nội dung"
"Custom","Tập quán"
"Product Page","Trang sản phẩm"
"Category Page","Trang Danh mục"
"Shopping Cart Page","Trang giỏ hàng"
"Category","thể loại"
"PREVIEW PRODUCTS","SẢN PHẨM PREVIEW"
"Statistic","Thống kê"
"Total","Toàn bộ"
"Child","Đứa trẻ"
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Trong kho"
"Out of stock","Hết hàng"
"HIDE PRODUCTS","Sản phẩm HIDE"
"Mageplaza AutoRelated","Mageplaza Tự động Tự động"
"Automatic Related Products","Sản phẩm liên quan tự động"
"General Configuration","Cấu hình chung"
"Enable Automatic Related Products","Bật Sản phẩm Liên quan Tự động"
"Select Yes to enable this module.","Chọn Có để bật mô-đun này."
"Start","Khởi đầu"
"End","Kết thúc"
