"(Parent)","(الأصل)"
"Add to Wishlist","أضف إلى قائمة الرغبات"
"Add to Compare","أضف للمقارنة"
"Review information","إستعراض معلومات الموقع"
"Bestsellers","الأكثر مبيعاً"
"Lowest Price","أقل سعر"
"Highest Price","اغلى سعر"
"Newest","الأحدث"
"Random","عشوائي"
"Subtotal","المبلغ إجمالي"
"Total Items Quantity","مجموع كمية العناصر"
"Total Weight","الوزن الإجمالي"
"Quantity in cart","الكمية في عربة التسوق"
"Price in cart","السعر في عربة التسوق"
"Row total in cart","مجموع الصف في البطاقة"
"Conditions Combination","شروط الجمع"
"Cart Item Attribute","سمة عربة التسوق"
"Product Attribute","مواصفات المنتج"
"FOUND","موجودة"
"NOT FOUND","غير موجودة"
"If an item is %1 in the cart with %2 of these conditions true:","إذا كان العنصر هو %1 في عربة التسوق مع %2 من هذه الشروط صحيح:"
"total quantity","إجمالي الكميات"
"total amount","المبلغ الكلي"
"is","هو"
"is not","ليس هو"
"equals or greater than","يساوي أو أكبر من"
"equals or less than","يساوي أو أقل من"
"greater than","اكبر من"
"less than","أقل من"
"is one of","هي واحدة من"
"is not one of","ليست واحدة من"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","إذا كان %1 %2 %3 لفرز العناصر في عربة مطابقة %4 من هذه الشروط:"
"Product attribute combination","المنتج مع المجموعات"
"Products subselection","المنتجات الفرعية"
"Conditions combination","شروط الجمع"
"Cart Attribute","سمة عربة التسوق"
"Replace native related product block","استبدال كتلة المنتج ذات الصلة بالموضوع الأصلي"
"Before native related products","قبل المنتجات الأصلية ذات الصلة"
"After native related products","بعد المنتجات ذات الصلة الأصلية"
"Replace upsell product block","استبدال المنتجات التي تم بيعها"
"Before upsell products","قبل المنتجات التي تم بيعها"
"After upsell products","بعد المنتجات التي تم بيعها"
"Above Content","المحتوى أعلاه"
"Below Content","أسفل المحتوى"
"Custom","تخصيص"
"Product Page","صفحة المنتج"
"Category Page","صفحة الفئات"
"Shopping Cart Page","عربة التسوق - المبيعات"
"Category","تصنيف"
"PREVIEW PRODUCTS","معاينة المنتجات"
"Statistic","الاحصائيات"
"Total","المجموع"
"Child","طفل"
"Add to Cart","أضف الى عربة التسوق"
"In stock","متوفر في المستودع"
"Out of stock","غير متوفر"
"HIDE PRODUCTS","إخفاء المنتجات"
"Mageplaza AutoRelated","المتعلق الاوتوماتيمي"
"Automatic Related Products","المنتجات التى لها نفس الصلة اوتوماتيكيا"
"General Configuration","ضبط عام"
"Enable Automatic Related Products","تمكين المنتجات ذات الصلة التلقائي"
"Select Yes to enable this module.","حدد نعم لتمكين هذه الوحدة."
"Start","البداية"
"End","نهاية"
